,PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,year
8,Carlos Santana,SEA,131,431,52,87,18,0,19,60,71,88,0,0,.202,.316,.376,.692,2022
9,Marcell Ozuna,ATL,124,470,56,106,19,0,23,56,31,122,2,1,.226,.274,.413,.687,2022
10,Jesús Aguilar,BAL,129,464,39,109,19,0,16,51,28,119,1,0,.235,.281,.379,.660,2022
11,Nelson Cruz,WSH,124,448,50,105,16,0,10,64,49,119,4,0,.234,.313,.337,.650,2022
0,Shohei Ohtani,LAA,135,497,102,151,26,8,44,95,91,143,20,6,.304,.412,.654,1.066,2023
1,Marcell Ozuna,ATL,144,530,84,145,29,1,40,100,57,134,0,0,.274,.346,.558,.904,2023
2,Bryce Harper,PHI,126,457,84,134,29,1,21,72,80,119,11,3,.293,.401,.499,.900,2023
3,Jorge Soler,MIA,137,504,77,126,24,0,36,75,66,141,1,0,.250,.341,.512,.853,2023
4,Brent Rooker,OAK,137,463,61,114,20,1,30,69,49,172,4,0,.246,.329,.488,.817,2023
5,Justin Turner,BOS,146,558,86,154,31,0,23,96,51,110,4,1,.276,.345,.455,.800,2023
6,Mark Canha,MIL,139,435,51,114,25,1,11,62,49,79,11,1,.262,.355,.400,.755,2023
7,Joey Meneses,WSH,154,611,71,168,36,1,13,89,38,130,0,0,.275,.321,.401,.722,2023
8,Hunter Renfroe,CIN,140,498,60,116,31,0,20,60,44,125,0,0,.233,.297,.416,.713,2023
0,Shohei Ohtani,LAD,104,407,82,128,28,4,32,76,60,107,27,4,.314,.404,.639,1.043,2024
1,Marcell Ozuna,ATL,105,389,66,119,20,0,31,83,48,104,0,0,.306,.384,.596,.980,2024
2,Brent Rooker,OAK,93,341,52,101,20,2,25,75,39,118,7,1,.296,.370,.587,.957,2024
3,Yordan Alvarez,HOU,101,378,58,113,25,2,20,55,45,68,5,0,.299,.382,.534,.916,2024
4,Kyle Schwarber,PHI,95,356,69,88,11,0,22,63,74,120,4,2,.247,.376,.463,.839,2024
5,Jorge Soler,SF,93,341,57,82,23,1,12,40,44,97,1,0,.240,.330,.419,.749,2024
6,Justin Turner,TOR,90,300,37,77,17,0,6,31,39,60,0,2,.257,.351,.373,.724,2024
7,Andrew McCutchen,PIT,90,339,53,76,13,1,13,28,46,101,3,2,.224,.326,.383,.709,2024
8,Mitch Garver,SEA,87,288,32,50,14,0,12,38,44,106,0,0,.174,.291,.347,.638,2024
