Name,Age,Team_x,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,wOBA,OAA,OFF,DEF,Qualified DH,Team_y,Run Differential,Team_Abbreviation
Daniel Vogelbach*,29,PIT,NL,75,278,237,29,54,10,1,12,34,0,0,40,67,0.228,0.338,0.43,0.769,116,102,8,0,0,1,1,0.339422383,-3.461538462,0.339422383,-3.461538462,No,Pittsburgh Pirates,-226,PIT
Austin Allen*,28,OAK,AL,5,16,14,1,1,0,0,0,0,0,0,1,9,0.071,0.188,0.071,0.259,-19,1,1,1,0,0,0,0.14375,0.0,0.14375,0.0,No,Oakland Athletics,-202,OAK
Nick Allen,23,OAK,AL,100,326,299,31,62,13,0,4,19,3,2,19,64,0.207,0.256,0.291,0.547,61,87,5,1,6,1,0,0.24621875,9.0,0.24621875,9.0,No,Oakland Athletics,-202,OAK
Elvis Andrus,33,OAK,AL,106,386,354,41,84,24,0,8,30,7,4,30,62,0.237,0.301,0.373,0.673,97,132,10,2,0,0,0,0.299740933,7.11409396,0.299740933,7.11409396,No,Oakland Athletics,-202,OAK
Luis Barrera*,26,OAK,AL,32,85,77,3,18,5,0,1,7,3,0,6,17,0.234,0.294,0.338,0.632,86,26,2,1,0,1,0,0.282235294,0.0,0.282235294,0.0,No,Oakland Athletics,-202,OAK
Christian Bethancourt,30,OAK,AL,56,182,169,23,42,11,0,4,19,4,1,10,41,0.249,0.298,0.385,0.683,100,65,3,2,1,0,0,0.302430939,-7.84,0.302430939,-7.84,No,Oakland Athletics,-202,OAK
Skye Bolt#,28,OAK,AL,42,116,106,10,21,2,0,4,13,5,0,7,30,0.198,0.259,0.33,0.589,72,35,1,2,0,1,0,0.263448276,0.0,0.263448276,0.0,No,Oakland Athletics,-202,OAK
Jonah Bride,26,OAK,AL,58,187,162,17,33,4,0,1,6,1,0,19,32,0.204,0.301,0.247,0.548,65,40,4,4,1,1,0,0.258548387,3.0,0.258548387,3.0,No,Oakland Athletics,-202,OAK
Seth Brown*,29,OAK,AL,150,555,500,55,115,26,3,25,73,11,2,51,146,0.23,0.305,0.444,0.749,117,222,7,3,0,1,3,0.325996377,-8.0,0.325996377,-8.0,No,Oakland Athletics,-202,OAK
Conner Capel*,25,OAK,AL,13,40,35,6,13,0,1,2,9,1,1,4,8,0.371,0.425,0.6,1.025,198,21,2,0,0,1,0,0.437,-1.181818182,0.437,-1.181818182,No,Oakland Athletics,-202,OAK
Ernie Clement,26,OAK,AL,6,18,18,1,1,1,0,0,0,0,0,0,2,0.056,0.056,0.111,0.167,-52,2,0,0,0,0,0,0.070555556,-0.173913043,0.070555556,-0.173913043,No,Oakland Athletics,-202,OAK
Matt Davidson,31,OAK,AL,8,24,24,2,4,0,0,1,2,0,1,0,10,0.167,0.167,0.292,0.458,32,7,0,0,0,0,0,0.19875,0.0,0.19875,0.0,No,Oakland Athletics,-202,OAK
Jordan Diaz,21,OAK,AL,15,51,49,3,13,3,0,0,1,0,0,2,7,0.265,0.294,0.327,0.621,83,16,1,0,0,0,0,0.27627451,-2.0,0.27627451,-2.0,No,Oakland Athletics,-202,OAK
Dermis Garcia,24,OAK,AL,39,125,116,13,24,6,0,5,20,0,0,8,55,0.207,0.264,0.388,0.652,89,45,1,1,0,0,0,0.28744,0.0,0.28744,0.0,No,Oakland Athletics,-202,OAK
Justin Grimm,33,OAK,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,Oakland Athletics,-202,OAK
Drew Jackson,28,OAK,AL,3,3,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,Oakland Athletics,-202,OAK
James Kaprielian,28,OAK,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,Oakland Athletics,-202,OAK
Tony Kemp*,30,OAK,AL,147,558,497,61,117,24,2,7,46,11,1,45,69,0.235,0.307,0.334,0.641,90,166,5,8,5,3,0,0.289312839,3.0,0.289312839,3.0,No,Oakland Athletics,-202,OAK
Shea Langeliers,24,OAK,AL,40,153,142,14,31,10,1,6,22,0,0,9,53,0.218,0.261,0.43,0.691,99,61,4,0,0,2,0,0.297973856,3.0,0.297973856,3.0,No,Oakland Athletics,-202,OAK
Ramon Laureano,27,OAK,AL,94,383,346,49,73,18,0,13,34,11,6,25,104,0.211,0.287,0.376,0.663,94,130,6,12,0,0,0,0.29616188,0.0,0.29616188,0.0,No,Oakland Athletics,-202,OAK
Christian Lopes,29,OAK,AL,4,10,9,0,0,0,0,0,0,0,0,1,5,0.0,0.1,0.0,0.1,-67,0,0,0,0,0,0,0.069,0.0,0.069,0.0,No,Oakland Athletics,-202,OAK
Jed Lowrie#,38,OAK,AL,50,184,167,14,30,5,0,3,16,1,0,15,39,0.18,0.245,0.263,0.508,50,44,5,0,0,2,0,0.231413043,0.0,0.231413043,0.0,No,Oakland Athletics,-202,OAK
Vimael Machin*,28,OAK,AL,73,253,223,26,49,12,0,1,13,1,1,25,47,0.22,0.3,0.287,0.587,75,64,6,2,0,3,0,0.269051383,0.0,0.269051383,0.0,No,Oakland Athletics,-202,OAK
David MacKinnon,27,OAK,AL,6,14,13,2,0,0,0,0,0,0,0,1,5,0.0,0.071,0.0,0.071,-76,0,0,0,0,0,0,0.049285714,0.545454545,0.049285714,0.545454545,No,Oakland Athletics,-202,OAK
Mickey McDonald#,27,OAK,AL,4,6,4,0,0,0,0,0,0,0,0,2,3,0.0,0.333,0.0,0.333,10,0,0,0,0,0,0,0.23,0.0,0.23,0.0,No,Oakland Athletics,-202,OAK
Billy McKinney*,27,OAK,AL,23,57,52,3,5,1,0,1,4,0,0,4,16,0.096,0.158,0.173,0.331,-2,9,0,0,0,1,1,0.144821429,2.0,0.144821429,2.0,No,Oakland Athletics,-202,OAK
Nate Mondou*,27,OAK,AL,1,3,2,0,0,0,0,0,0,0,0,1,1,0.0,0.333,0.0,0.333,10,0,0,0,0,0,0,0.23,0.0,0.23,0.0,No,Oakland Athletics,-202,OAK
Sean Murphy,27,OAK,AL,148,612,537,67,134,37,2,18,66,1,0,56,124,0.25,0.332,0.426,0.759,122,229,14,13,0,5,2,0.3336289,5.0,0.3336289,5.0,No,Oakland Athletics,-202,OAK
Sheldon Neuse,27,OAK,AL,89,293,271,25,58,4,2,4,26,6,1,20,80,0.214,0.273,0.288,0.561,66,78,5,2,0,0,0,0.254880546,-3.0,0.254880546,-3.0,No,Oakland Athletics,-202,OAK
Cristian Pache,23,OAK,AL,91,260,241,18,40,5,2,3,18,2,2,15,70,0.166,0.218,0.241,0.459,35,58,5,1,3,0,0,0.208793774,9.0,0.208793774,9.0,No,Oakland Athletics,-202,OAK
Joel Payamps,28,OAK,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,Oakland Athletics,-202,OAK
Chad Pinder,30,OAK,AL,111,379,361,38,85,18,0,12,42,2,0,14,118,0.235,0.263,0.385,0.648,88,139,10,0,1,2,0,0.282944297,1.0,0.282944297,1.0,No,Oakland Athletics,-202,OAK
Stephen Piscotty,31,OAK,AL,42,139,126,12,24,4,0,5,14,2,0,9,48,0.19,0.252,0.341,0.593,73,43,2,2,0,2,1,0.260072464,2.0,0.260072464,2.0,No,Oakland Athletics,-202,OAK
