Name,Age,Team_x,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,wOBA,OAA,OFF,DEF,Qualified DH,Team_y,Run Differential,Team_Abbreviation
Brandon Drury,29,CIN,NL,92,385,350,62,96,22,2,20,59,2,2,29,84,0.274,0.335,0.52,0.855,129,182,6,4,0,2,0,0.36974026,-1.333333333,0.36974026,-1.333333333,No,Cincinnati Reds,-167,CIN
Stuart Fairchild,26,CIN,NL,38,99,86,13,24,4,1,5,6,0,2,8,29,0.279,0.374,0.523,0.897,142,45,1,5,0,0,0,0.391717172,-2.47826087,0.391717172,-2.47826087,No,Cincinnati Reds,-167,CIN
Kyle Farmer,31,CIN,NL,145,583,526,58,134,25,1,14,78,4,3,33,99,0.255,0.315,0.386,0.701,90,203,20,16,2,6,0,0.311049914,3.0,0.311049914,3.0,No,Cincinnati Reds,-167,CIN
Jake Fraley*,27,CIN,NL,68,247,216,33,56,9,0,12,28,4,1,26,54,0.259,0.344,0.468,0.812,119,101,1,3,0,2,1,0.354430894,-3.0,0.354430894,-3.0,No,Cincinnati Reds,-167,CIN
TJ Friedl*,26,CIN,NL,72,258,225,33,54,10,5,8,25,7,2,20,40,0.24,0.314,0.436,0.75,102,98,3,7,0,6,0,0.325697674,1.0,0.325697674,1.0,No,Cincinnati Reds,-167,CIN
Aramis Garcia,29,CIN,NL,47,115,108,6,23,2,0,1,4,0,1,3,34,0.213,0.248,0.259,0.507,39,28,4,2,2,0,0,0.229646018,-1.0,0.229646018,-1.0,No,Cincinnati Reds,-167,CIN
Ryan Hendrix,27,CIN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,Cincinnati Reds,-167,CIN
Jeff Hoffman,29,CIN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,Cincinnati Reds,-167,CIN
Jonathan India,25,CIN,NL,103,431,386,48,96,16,2,10,41,3,4,31,94,0.249,0.327,0.378,0.705,92,146,5,14,0,0,1,0.315953488,0.0,0.315953488,0.0,No,Cincinnati Reds,-167,CIN
Mark Kolozsvary,26,CIN,NL,10,21,20,3,4,2,0,1,3,0,0,1,9,0.2,0.238,0.45,0.688,82,9,1,0,0,0,0,0.296190476,0.0,0.296190476,0.0,No,Cincinnati Reds,-167,CIN
Joel Kuhnel,27,CIN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,Cincinnati Reds,-167,CIN
Alejo Lopez#,26,CIN,NL,59,156,145,15,38,5,1,1,10,3,1,9,21,0.262,0.314,0.331,0.645,77,48,1,2,0,0,1,0.287870968,0.0,0.287870968,0.0,No,Cincinnati Reds,-167,CIN
Colin Moran*,29,CIN,NL,42,128,109,11,23,3,0,5,23,0,0,16,30,0.211,0.305,0.376,0.681,85,41,4,0,0,3,0,0.30234375,3.0,0.30234375,3.0,No,Cincinnati Reds,-167,CIN
Dauri Moreta,26,CIN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,Cincinnati Reds,-167,CIN
Taylor Motter,32,CIN,NL,2,6,6,0,1,0,0,0,0,0,0,0,3,0.167,0.167,0.167,0.333,-8,1,0,0,0,0,0,0.148333333,0.0,0.148333333,0.0,No,Cincinnati Reds,-167,CIN
Mike Moustakas*,33,CIN,NL,78,285,252,30,54,12,0,7,25,2,0,24,75,0.214,0.295,0.345,0.64,74,87,8,6,0,3,0,0.287614035,-3.0,0.287614035,-3.0,No,Cincinnati Reds,-167,CIN
Tyler Naquin*,31,CIN,NL,56,204,187,29,46,12,2,7,33,3,2,13,53,0.246,0.305,0.444,0.749,101,83,1,3,1,0,2,0.324278607,-3.2,0.324278607,-3.2,No,Cincinnati Reds,-167,CIN
Chris Okey,27,CIN,NL,7,13,12,3,2,0,0,0,0,0,0,0,5,0.167,0.231,0.167,0.397,11,2,0,1,0,0,0,0.192307692,0.0,0.192307692,0.0,No,Cincinnati Reds,-167,CIN
Michael Papierski#,26,CIN,NL,34,93,82,6,13,1,0,1,4,0,0,9,22,0.159,0.242,0.207,0.449,25,17,4,0,2,0,0,0.212857143,0.0,0.212857143,0.0,No,Cincinnati Reds,-167,CIN
Tommy Pham,34,CIN,NL,91,387,340,57,81,11,1,11,39,7,2,42,100,0.238,0.32,0.374,0.694,89,127,13,1,0,4,0,0.310103359,7.583333333,0.310103359,7.583333333,No,Cincinnati Reds,-167,CIN
Matt Reynolds,31,CIN,NL,92,272,244,31,60,10,1,3,23,5,0,26,78,0.246,0.32,0.332,0.652,79,81,7,1,0,1,0,0.294926471,3.956989247,0.294926471,3.956989247,No,Cincinnati Reds,-167,CIN
JT Riddle*,30,CIN,NL,2,4,4,0,1,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.5,37,1,0,0,0,0,0,0.2225,0.0,0.2225,0.0,No,Cincinnati Reds,-167,CIN
Chuckie Robinson,27,CIN,NL,25,60,59,3,8,2,0,2,5,0,0,0,17,0.136,0.136,0.271,0.407,7,16,5,0,1,0,0,0.174576271,2.0,0.174576271,2.0,No,Cincinnati Reds,-167,CIN
Austin Romine,33,CIN,NL,37,99,95,8,14,2,0,3,9,0,0,2,36,0.147,0.173,0.263,0.437,17,25,2,1,1,0,0,0.193367347,4.352941176,0.193367347,4.352941176,No,Cincinnati Reds,-167,CIN
Reiver Sanmartin*,26,CIN,NL,1,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,Cincinnati Reds,-167,CIN
Max Schrock*,27,CIN,NL,13,27,26,1,4,0,0,0,1,0,0,1,6,0.154,0.185,0.154,0.339,-6,4,0,0,0,0,0,0.157407407,1.0,0.157407407,1.0,No,Cincinnati Reds,-167,CIN
Nick Senzel,27,CIN,NL,110,420,373,45,86,13,0,5,25,8,5,30,76,0.231,0.296,0.306,0.601,65,114,7,5,2,1,0,0.273422983,1.0,0.273422983,1.0,No,Cincinnati Reds,-167,CIN
Michael Siani*,22,CIN,NL,9,24,24,1,4,0,0,0,0,0,1,0,7,0.167,0.167,0.167,0.333,-8,4,1,0,0,0,0,0.148333333,1.0,0.148333333,1.0,No,Cincinnati Reds,-167,CIN
Donovan Solano,34,CIN,NL,80,304,278,22,79,16,0,4,24,0,0,19,61,0.284,0.339,0.385,0.724,97,107,5,5,0,2,1,0.320957096,0.0,0.320957096,0.0,No,Cincinnati Reds,-167,CIN
Spencer Steer,24,CIN,NL,28,108,95,12,20,5,0,2,8,0,1,11,26,0.211,0.306,0.326,0.632,73,31,2,2,0,0,0,0.288425926,1.0,0.288425926,1.0,No,Cincinnati Reds,-167,CIN
Tyler Stephenson,25,CIN,NL,50,183,166,24,53,9,0,6,35,1,0,12,47,0.319,0.372,0.482,0.854,131,80,4,3,0,2,0,0.373169399,-4.0,0.373169399,-4.0,No,Cincinnati Reds,-167,CIN
Hunter Strickland,33,CIN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,Cincinnati Reds,-167,CIN
Joey Votto*,38,CIN,NL,91,376,322,31,66,18,1,11,41,0,0,44,97,0.205,0.319,0.37,0.689,88,119,8,10,0,0,0,0.311648936,0.0,0.311648936,0.0,No,Cincinnati Reds,-167,CIN
Pete Alonso,27,NYM,NL,160,685,597,95,162,27,0,40,131,5,1,67,128,0.271,0.352,0.518,0.869,148,309,17,12,0,9,16,0.368714499,-3.0,0.368714499,-3.0,No,New York Mets,166,NYM
Francisco Alvarez,20,NYM,NL,5,14,12,3,2,1,0,1,1,0,0,2,4,0.167,0.286,0.5,0.786,122,6,1,0,0,0,0,0.339285714,0.0,0.339285714,0.0,No,New York Mets,166,NYM
Brett Baty*,22,NYM,NL,11,42,38,4,7,0,0,2,5,0,0,2,8,0.184,0.244,0.342,0.586,67,13,0,1,0,0,0,0.262195122,3.0,0.262195122,3.0,No,New York Mets,166,NYM
Travis Blankenhorn*,25,NYM,NL,1,3,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,New York Mets,166,NYM
Mark Canha,33,NYM,NL,140,542,462,71,123,24,0,13,61,3,1,48,97,0.266,0.367,0.403,0.77,123,186,3,28,0,4,1,0.345489834,1.0,0.345489834,1.0,No,New York Mets,166,NYM
Robinson Cano*,39,NYM,NL,12,43,41,3,8,0,0,1,3,0,0,2,11,0.195,0.233,0.268,0.501,45,11,0,0,0,0,0,0.225813953,0.0,0.225813953,0.0,No,New York Mets,166,NYM
J.D. Davis,29,NYM,NL,66,207,181,26,43,8,1,4,21,1,1,20,66,0.238,0.324,0.359,0.683,98,65,9,4,0,2,0,0.30705314,1.147826087,0.30705314,1.147826087,No,New York Mets,166,NYM
Edwin Diaz,28,NYM,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,New York Mets,166,NYM
Eduardo Escobar#,33,NYM,NL,136,542,495,58,119,26,4,20,69,0,2,40,129,0.24,0.295,0.43,0.726,107,213,4,1,0,6,3,0.313840445,0.0,0.313840445,0.0,No,New York Mets,166,NYM
Mychal Givens,32,NYM,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,New York Mets,166,NYM
Terrance Gore,31,NYM,NL,10,8,7,1,1,0,0,0,0,3,0,0,3,0.143,0.143,0.143,0.286,-17,1,0,0,1,0,0,0.127142857,0.0,0.127142857,0.0,No,New York Mets,166,NYM
Luis Guillorme*,27,NYM,NL,102,335,297,33,81,12,1,2,17,1,0,34,46,0.273,0.351,0.34,0.691,102,101,15,2,2,0,1,0.313283133,-4.0,0.313283133,-4.0,No,New York Mets,166,NYM
Tommy Hunter,35,NYM,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,New York Mets,166,NYM
Ender Inciarte*,31,NYM,NL,11,8,8,1,1,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0.25,-27,1,0,0,0,0,0,0.11125,0.0,0.11125,0.0,No,New York Mets,166,NYM
Travis Jankowski*,31,NYM,NL,43,63,54,11,9,0,0,0,2,3,0,8,9,0.167,0.286,0.167,0.452,36,9,0,1,0,0,0,0.226190476,3.909090909,0.226190476,3.909090909,No,New York Mets,166,NYM
Khalil Lee*,24,NYM,NL,2,2,2,1,1,0,0,1,3,0,0,0,0,0.5,0.5,2.0,2.5,577,4,0,0,0,0,0,1.05,0.0,1.05,0.0,No,New York Mets,166,NYM
Francisco Lindor#,28,NYM,NL,161,706,630,98,170,25,5,26,107,16,6,59,133,0.27,0.339,0.449,0.788,126,283,11,10,0,7,2,0.344375,0.0,0.344375,0.0,No,New York Mets,166,NYM
Seth Lugo,32,NYM,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,New York Mets,166,NYM
Deven Marrero,31,NYM,NL,5,6,6,0,0,0,0,0,0,1,0,0,3,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,New York Mets,166,NYM
Starling Marte,33,NYM,NL,118,505,466,76,136,24,5,16,63,18,9,26,97,0.292,0.347,0.468,0.814,133,218,18,13,0,0,0,0.357366337,-3.0,0.357366337,-3.0,No,New York Mets,166,NYM
Patrick Mazeika*,28,NYM,NL,24,72,68,4,13,4,0,1,6,0,0,2,9,0.191,0.214,0.294,0.508,45,20,0,0,2,0,0,0.224,1.0,0.224,1.0,No,New York Mets,166,NYM
James McCann,32,NYM,NL,61,191,174,19,34,6,0,3,18,3,0,11,46,0.195,0.257,0.282,0.538,56,49,5,4,0,2,0,0.244188482,0.0,0.244188482,0.0,No,New York Mets,166,NYM
Jeff McNeil*,30,NYM,NL,148,589,533,73,174,39,1,9,62,4,0,40,61,0.326,0.382,0.454,0.836,141,242,6,11,0,5,1,0.367568027,1.0,0.367568027,1.0,No,New York Mets,166,NYM
Adonis Medina,25,NYM,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,New York Mets,166,NYM
Tyler Naquin*,31,NYM,NL,49,130,123,18,25,7,2,4,13,1,0,6,40,0.203,0.246,0.39,0.636,80,48,2,1,0,0,0,0.277461538,-2.8,0.277461538,-2.8,No,New York Mets,166,NYM
Tomas Nido,28,NYM,NL,98,313,284,31,68,15,0,3,28,0,0,14,76,0.239,0.276,0.324,0.6,73,92,14,1,12,2,0,0.26654485,0.0,0.26654485,0.0,No,New York Mets,166,NYM
Brandon Nimmo*,29,NYM,NL,151,673,580,102,159,30,7,16,64,3,2,71,116,0.274,0.367,0.433,0.8,131,251,9,16,3,3,0,0.355059701,-8.0,0.355059701,-8.0,No,New York Mets,166,NYM
Michael Perez*,29,NYM,NL,6,16,14,2,2,0,0,0,3,0,0,2,6,0.143,0.25,0.143,0.393,18,2,0,0,0,0,0,0.1975,0.0,0.1975,0.0,No,New York Mets,166,NYM
Nick Plummer*,25,NYM,NL,14,31,29,4,4,1,0,2,6,0,0,1,12,0.138,0.194,0.379,0.573,61,11,1,1,0,0,0,0.250645161,1.0,0.250645161,1.0,No,New York Mets,166,NYM
Matt Reynolds,31,NYM,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.043010753,0.0,0.043010753,No,New York Mets,166,NYM
Joely Rodriguez*,30,NYM,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,New York Mets,166,NYM
Darin Ruf,35,NYM,NL,28,74,66,6,10,3,0,0,7,0,0,5,20,0.152,0.216,0.197,0.413,21,13,3,1,0,2,0,0.192027027,0.949152542,0.192027027,0.949152542,No,New York Mets,166,NYM
Yolmer Sanchez#,30,NYM,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,New York Mets,166,NYM
Chasen Shreve*,31,NYM,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,New York Mets,166,NYM
Dominic Smith*,27,NYM,NL,58,152,134,11,26,10,1,0,17,0,0,12,37,0.194,0.276,0.284,0.56,63,38,0,4,0,2,0,0.255460526,0.0,0.255460526,0.0,No,New York Mets,166,NYM
Mark Vientos,22,NYM,NL,16,41,36,3,6,1,0,1,3,0,0,5,12,0.167,0.268,0.278,0.546,59,10,1,0,0,0,0,0.253170732,0.0,0.253170732,0.0,No,New York Mets,166,NYM
Daniel Vogelbach*,29,NYM,NL,55,183,149,18,38,9,0,6,25,0,0,33,47,0.255,0.393,0.436,0.83,140,65,3,1,0,0,1,0.36978022,-2.538461538,0.36978022,-2.538461538,No,New York Mets,166,NYM
Trevor Williams,30,NYM,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,New York Mets,166,NYM
Jose Altuve,32,HOU,AL,141,604,527,103,158,39,0,28,57,18,1,66,87,0.3,0.387,0.533,0.921,161,281,13,10,0,1,2,0.399800664,3.0,0.399800664,3.0,No,Houston Astros,219,HOU
Yordan Alvarez*,25,HOU,AL,135,561,470,95,144,29,2,37,97,1,1,78,106,0.306,0.406,0.613,1.019,188,288,12,6,0,7,9,0.429963768,0.0,0.429963768,0.0,Yes,Houston Astros,219,HOU
Michael Brantley*,35,HOU,AL,64,277,243,28,70,14,1,5,26,1,1,31,30,0.288,0.37,0.416,0.785,126,101,1,1,1,1,2,0.347189781,2.0,0.347189781,2.0,No,Houston Astros,219,HOU
Alex Bregman,28,HOU,AL,155,656,548,93,142,38,0,23,93,1,2,87,77,0.259,0.366,0.454,0.82,134,249,18,11,0,10,1,0.360167939,10.0,0.360167939,10.0,No,Houston Astros,219,HOU
Jason Castro*,35,HOU,AL,34,88,78,6,9,2,0,1,3,1,0,8,40,0.115,0.205,0.179,0.384,12,14,1,1,0,1,0,0.184318182,1.0,0.184318182,1.0,No,Houston Astros,219,HOU
Aledmys Diaz,31,HOU,AL,92,327,305,35,74,13,0,12,38,1,1,18,53,0.243,0.287,0.403,0.691,96,123,7,2,0,2,0,0.303302752,0.0,0.303302752,0.0,No,Houston Astros,219,HOU
Yainer Diaz,23,HOU,AL,6,9,8,0,1,1,0,0,1,0,0,1,2,0.125,0.222,0.25,0.472,36,2,0,0,0,0,0,0.217777778,0.0,0.217777778,0.0,No,Houston Astros,219,HOU
Mauricio Dubon,27,HOU,AL,83,216,197,21,41,8,0,3,16,2,3,12,26,0.208,0.254,0.294,0.548,57,58,7,1,3,3,0,0.244882629,0.0,0.244882629,0.0,No,Houston Astros,219,HOU
Niko Goodrum#,30,HOU,AL,15,45,43,2,5,2,0,0,1,1,0,2,23,0.116,0.156,0.163,0.318,-8,7,0,0,0,0,0,0.146444444,0.0,0.146444444,0.0,No,Houston Astros,219,HOU
Yuli Gurriel,38,HOU,AL,146,584,545,53,132,40,0,8,53,8,0,30,73,0.242,0.288,0.36,0.647,85,196,13,6,0,3,0,0.286609589,7.0,0.286609589,7.0,No,Houston Astros,219,HOU
David Hensley,26,HOU,AL,16,34,29,7,10,2,1,1,5,0,0,5,6,0.345,0.441,0.586,1.027,192,17,3,0,0,0,0,0.442647059,-1.0,0.442647059,-1.0,No,Houston Astros,219,HOU
Taylor Jones,28,HOU,AL,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,Houston Astros,219,HOU
Korey Lee,23,HOU,AL,12,26,25,1,4,2,0,0,4,0,0,1,9,0.16,0.192,0.24,0.432,23,6,1,0,0,0,0,0.192692308,0.0,0.192692308,0.0,No,Houston Astros,219,HOU
Martin Maldonado,35,HOU,AL,113,379,344,40,64,12,0,15,45,0,0,22,116,0.186,0.248,0.352,0.6,70,121,6,7,4,2,0,0.266373333,0.0,0.266373333,0.0,No,Houston Astros,219,HOU
Trey Mancini,30,HOU,AL,51,186,165,17,29,7,0,8,22,0,0,18,49,0.176,0.258,0.364,0.622,76,60,8,1,0,2,0,0.275752688,-2.13986014,0.275752688,-2.13986014,Yes,Houston Astros,219,HOU
J.J. Matijevic*,26,HOU,AL,32,71,67,7,14,2,0,2,5,1,0,2,25,0.209,0.254,0.328,0.582,66,22,1,2,0,0,0,0.26,-1.0,0.26,-1.0,No,Houston Astros,219,HOU
Chas McCormick,27,HOU,AL,119,407,359,47,88,12,2,14,44,4,3,46,106,0.245,0.332,0.407,0.738,111,146,5,1,0,1,0,0.328599509,-2.0,0.328599509,-2.0,No,Houston Astros,219,HOU
Jake Meyers,26,HOU,AL,52,160,150,13,34,6,2,1,15,2,1,7,54,0.227,0.269,0.313,0.582,67,47,1,2,0,1,0,0.25925,0.0,0.25925,0.0,No,Houston Astros,219,HOU
Jeremy Pena,24,HOU,AL,136,558,521,72,132,20,2,22,63,11,2,22,135,0.253,0.289,0.426,0.715,102,222,5,6,1,5,0,0.31166065,0.0,0.31166065,0.0,No,Houston Astros,219,HOU
Joe Perez,22,HOU,AL,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,Houston Astros,219,HOU
Jose Siri,26,HOU,AL,48,147,135,18,24,4,2,3,10,6,1,9,48,0.178,0.238,0.304,0.542,54,41,2,2,0,1,0,0.242312925,0.923076923,0.242312925,0.923076923,No,Houston Astros,219,HOU
Kyle Tucker*,25,HOU,AL,150,609,544,71,140,28,1,30,107,25,4,59,95,0.257,0.33,0.478,0.808,129,260,11,1,0,2,4,0.350398671,-3.0,0.350398671,-3.0,No,Houston Astros,219,HOU
Christian Vazquez,31,HOU,AL,35,108,104,8,26,3,0,1,10,0,2,4,18,0.25,0.278,0.308,0.585,68,32,3,0,0,0,0,0.261574074,0.0,0.261574074,0.0,No,Houston Astros,219,HOU
Jose Alvarado*,27,PHI,NL,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,Philadelphia Phillies,62,PHI
Mark Appel,30,PHI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,Philadelphia Phillies,62,PHI
Andrew Bellatti,30,PHI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,Philadelphia Phillies,62,PHI
Alec Bohm,25,PHI,NL,152,631,586,79,164,24,3,13,72,2,3,31,110,0.28,0.315,0.398,0.713,101,233,18,4,0,10,1,0.312031746,-3.0,0.312031746,-3.0,No,Philadelphia Phillies,62,PHI
Johan Camargo#,28,PHI,NL,52,166,152,8,36,3,0,3,15,0,0,13,37,0.237,0.297,0.316,0.613,75,48,1,0,1,0,0,0.277454545,0.0,0.277454545,0.0,No,Philadelphia Phillies,62,PHI
Nick Castellanos,30,PHI,NL,136,558,524,56,138,27,0,13,62,7,1,29,130,0.263,0.305,0.389,0.694,96,204,15,3,0,2,0,0.306415771,2.0,0.306415771,2.0,No,Philadelphia Phillies,62,PHI
Jeurys Familia,32,PHI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,Philadelphia Phillies,62,PHI
Didi Gregorius*,32,PHI,NL,63,232,214,17,45,9,4,1,19,1,0,13,36,0.21,0.263,0.304,0.567,61,65,0,3,0,2,0,0.253146552,4.0,0.253146552,4.0,No,Philadelphia Phillies,62,PHI
Dalton Guthrie,26,PHI,NL,14,28,21,3,7,0,0,1,5,1,0,6,7,0.333,0.5,0.476,0.976,180,10,0,1,0,0,0,0.439285714,0.0,0.439285714,0.0,No,Philadelphia Phillies,62,PHI
Darick Hall*,26,PHI,NL,41,142,136,19,34,8,1,9,16,0,0,5,44,0.25,0.282,0.522,0.804,122,71,3,1,0,0,0,0.345704225,-3.0,0.345704225,-3.0,No,Philadelphia Phillies,62,PHI
Bryce Harper*,29,PHI,NL,99,426,370,63,106,28,1,18,65,11,4,46,87,0.286,0.364,0.514,0.877,146,190,13,3,0,7,9,0.372134293,-3.0,0.372134293,-3.0,No,Philadelphia Phillies,62,PHI
Odubel Herrera*,30,PHI,NL,62,197,185,23,44,9,1,5,21,6,0,11,42,0.238,0.279,0.378,0.658,85,70,3,0,0,1,0,0.289086294,0.0,0.289086294,0.0,No,Philadelphia Phillies,62,PHI
Rhys Hoskins,29,PHI,NL,156,672,589,81,145,33,2,30,79,2,1,72,169,0.246,0.332,0.462,0.794,123,272,12,6,0,4,0,0.347764531,0.0,0.347764531,0.0,No,Philadelphia Phillies,62,PHI
Scott Kingery,28,PHI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,Philadelphia Phillies,62,PHI
Brandon Marsh*,24,PHI,NL,41,138,132,15,38,9,2,3,15,2,2,6,41,0.288,0.319,0.455,0.773,117,60,2,0,0,0,0,0.33673913,-1.223880597,0.33673913,-1.223880597,No,Philadelphia Phillies,62,PHI
Nick Maton*,25,PHI,NL,34,85,72,13,18,2,1,5,17,0,0,10,29,0.25,0.341,0.514,0.855,139,37,0,1,0,2,0,0.366823529,0.0,0.366823529,0.0,No,Philadelphia Phillies,62,PHI
Oscar Mercado,27,PHI,NL,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,Philadelphia Phillies,62,PHI
Mickey Moniak*,24,PHI,NL,18,50,46,4,6,1,0,0,2,0,0,3,19,0.13,0.184,0.152,0.336,-3,7,0,0,1,0,0,0.158979592,0.972972973,0.158979592,0.972972973,No,Philadelphia Phillies,62,PHI
Yairo Munoz,27,PHI,NL,29,60,57,7,12,2,0,3,7,1,0,3,10,0.211,0.25,0.404,0.654,82,23,0,0,0,0,0,0.285666667,0.0,0.285666667,0.0,No,Philadelphia Phillies,62,PHI
Simon Muzziotti*,23,PHI,NL,9,9,7,0,1,0,0,0,0,0,0,0,2,0.143,0.25,0.143,0.393,16,1,0,1,1,0,0,0.20125,0.0,0.20125,0.0,No,Philadelphia Phillies,62,PHI
Roman Quinn#,29,PHI,NL,23,40,37,8,6,1,0,0,3,4,1,3,15,0.162,0.225,0.189,0.414,20,7,0,0,0,0,0,0.19475,0.0,0.19475,0.0,No,Philadelphia Phillies,62,PHI
J.T. Realmuto,31,PHI,NL,139,562,504,75,139,26,5,22,84,21,1,41,119,0.276,0.342,0.478,0.82,130,241,7,12,0,5,1,0.356684492,2.0,0.356684492,2.0,No,Philadelphia Phillies,62,PHI
JoJo Romero*,25,PHI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No,Philadelphia Phillies,62,PHI
Donny Sands,26,PHI,NL,3,4,3,0,0,0,0,0,0,0,0,1,1,0.0,0.25,0.0,0.25,-20,0,1,0,0,0,0,0.1725,0.0,0.1725,0.0,No,Philadelphia Phillies,62,PHI
Kyle Schwarber*,29,PHI,NL,155,669,577,100,126,21,3,46,94,10,1,86,200,0.218,0.323,0.504,0.827,131,291,10,4,0,2,3,0.357537538,1.0,0.357537538,1.0,No,Philadelphia Phillies,62,PHI
Jean Segura,32,PHI,NL,98,387,354,45,98,9,0,10,33,13,6,25,58,0.277,0.336,0.387,0.723,105,137,16,7,0,1,1,0.322124352,-3.0,0.322124352,-3.0,No,Philadelphia Phillies,62,PHI
Edmundo Sosa,26,PHI,NL,25,59,54,9,17,7,1,2,13,3,0,1,12,0.315,0.345,0.593,0.937,160,32,3,2,1,1,0,0.397758621,-2.564102564,0.397758621,-2.564102564,No,Philadelphia Phillies,62,PHI
Bryson Stott*,24,PHI,NL,127,466,427,58,100,19,2,10,49,12,4,36,89,0.234,0.295,0.358,0.653,85,153,3,1,1,1,0,0.291053763,6.0,0.291053763,6.0,No,Philadelphia Phillies,62,PHI
Garrett Stubbs*,29,PHI,NL,46,121,106,19,28,4,1,5,16,2,0,14,30,0.264,0.35,0.462,0.812,129,49,2,0,1,0,0,0.357333333,-4.0,0.357333333,-4.0,No,Philadelphia Phillies,62,PHI
Matt Vierling,25,PHI,NL,117,357,325,41,80,12,2,6,32,7,4,23,70,0.246,0.297,0.351,0.648,84,114,7,3,0,6,0,0.287142857,7.0,0.287142857,7.0,No,Philadelphia Phillies,62,PHI
Bradley Zimmer*,29,PHI,NL,9,16,16,4,4,1,0,0,0,0,0,0,4,0.25,0.25,0.313,0.563,59,5,0,0,0,0,0,0.24625,0.495412844,0.24625,0.495412844,No,Philadelphia Phillies,62,PHI
